formula,Eg
Ba2DyTaO6,3.383
Ba2DyUO6,0.94
Ba2ErMoO6,0
Ba2ErNbO6,2.851
Ba2ErReO6,0
Ba2ErRuO6,0.079
Ba2ErSbO6,3.373
Ba2ErTaO6,3.39
Ba2ErUO6,0.951
Ba2EuMoO6,0
Ba2EuNbO6,0
Ba2EuReO6,0
Ba2EuRuO6,0
Ba2EuSbO6,0
Ba2EuTaO6,0
Ba2FeMoO6,0.864
Ba2FeReO6,0
Ba2FeWO6,2.506
Ba2GdMoO6,0.804
Ba2GdNbO6,2.651
Ba2GdReO6,0
Ba2GdSbO6,3.484
Ba2GdTaO6,3.294
Ba2GdUO6,0.918
Ba2HfUO6,0
Ba2HoMoO6,0
Ba2HoNbO6,2.857
Ba2HoReO6,0
Ba2HoRuO6,0.084
Ba2HoSbO6,3.416
Ba2HoTaO6,3.383
Ba2HoUO6,0.945
Ba2InIrO6,0
Ba2InOsO6,0.478
Ba2InReO6,0
Ba2InRuO6,0.371
Ba2InSbO6,0.513
Ba2LaBiO6,2.004
Ba2LaIrO6,0
Ba2LaNbO6,3.024
Ba2LaReO6,0
Ba2LaRuO6,0.241
Ba2LaSbO6,3.899
Ba2LaTaO6,3.587
Ba2LaUO6,0.921
Ba2LiIO6,2.078
Ba2LiOsO6,0
Ba2LiReO6,1.82
Ba2LiTeO6,0
Ba2LuBiO6,1.446
Ba2LuIrO6,0
Ba2LuMoO6,0
Ba2LuNbO6,2.852
Ba2LuReO6,0
Ba2LuRuO6,0.171
Ba2LuSbO6,3.227
Ba2LuTaO6,3.401
Ba2LuUO6,0.835
Ba2MgMoO6,2.264
Ba2MgOsO6,0
Ba2MgReO6,0
Ba2MgUO6,2.059
Ba2MgWO6,3.225
Ba2MnMoO6,1.272
Ba2MnReO6,0
Ba2MnTeO6,0.937
Ba2MnWO6,2.23
Ba2NaIO6,2.239
Ba2NaOsO6,0
Ba2NaReO6,1.871
Ba2NbCrO6,1.583
Ba2NbFeO6,1.732
Ba2NbInO6,3.349
Ba2NbRhO6,0.832
Ba2NbVO6,1.522
Ba2NdBiO6,1.731
Ba2NdIrO6,0
Ba2NdMoO6,1.089
Ba2NdNbO6,2.983
Ba2NdReO6,0
Ba2NdRuO6,0.161
Ba2NdSbO6,3.73
Ba2NdTaO6,3.501
Ba2NiMoO6,2.422
Ba2NiOsO6,0
Ba2NiTeO6,2.328
Ba2NiWO6,3.344
Ba2PrBiO6,1.941
Ba2PrIrO6,0
Ba2PrNbO6,2.968
Ba2PrPtO6,0
Ba2PrRuO6,0.175
Ba2PrSbO6,3.766
Ba2PrTaO6,3.488
Ba2PuMnO6,0
Ba2PuTaO6,0
Ba2PuTiO6,0.416
Ba2PuZnO6,0.476
Ba2ReNiO6,0
Ba2ScIrO6,0
Ba2ScNbO6,2.568
Ba2ScOsO6,0
Ba2ScReO6,0
Ba2ScSbO6,0
Ba2ScTaO6,3.017
Ba2ScUO6,0.901
Ba2SmMoO6,0.924
Ba2SmNbO6,2.857
Ba2SmOsO6,0.079
Ba2SmReO6,0
Ba2SmSbO6,3.605
Ba2SmUO6,0.908
Ba2SrIrO6,0
Ba2SrTeO6,3.13
Ba2SrUO6,2.244
Ba2SrWO6,3.257
Ba2TaBiO6,2.581
Ba2TaCrO6,2.156
Ba2TaFeO6,2.262
Ba2TaInO6,4.051
Ba2TaTlO6,2.464
Ba2TbBiO6,1.773
Ba2TbIrO6,0
Ba2TbMoO6,0
Ba2TbNbO6,2.991
Ba2TbReO6,0
Ba2TbSbO6,3.507
Ba2TbTaO6,3.512
Ba2TbWO6,1.707
Ba2TmMoO6,0
Ba2TmNbO6,2.855
Ba2TmReO6,0
Ba2TmRuO6,0.071
Ba2TmTaO6,3.388
Ba2UBeO6,1.735
Ba2UCdO6,1.848
Ba2UCoO6,0
Ba2UCuO6,0.322
Ba2UFeO6,0.537
Ba2UGeO6,0.616
Ba2UHgO6,1.641
Ba2UInO6,0.968
Ba2UMnO6,1.043
Ba2UNiO6,1.646
Ba2UPbO6,1.178
Ba2UTiO6,0
Ba2UZnO6,1.782
Ba2VMoO6,0.55
Ba2YbBiO6,0
Ba2YBiO6,1.815
Ba2YbMoO6,2.264
Ba2YbNbO6,0
Ba2YbReO6,0
Ba2YbRuO6,0
Ba2YbSbO6,0
Ba2YbTaO6,0
Ba2YbUO6,2.147
Ba2YIrO6,0
Ba2YMoO6,0
Ba2YNbO6,2.856
Ba2YOsO6,0.09
Ba2YReO6,0
Ba2YRuO6,0.096
Ba2YSbO6,3.538
Ba2YTaO6,3.466
Ba2YUO6,0.935
Ba2YZrO6,0
Ba2ZnMoO6,2.411
Ba2ZnOsO6,0
Ba2ZnReO6,0
Ba2ZnTeO6,0.445
Ba2ZnWO6,3.385
Ba2ZrTiO6,2.227
Ba2ZrUO6,0
Ca2BiAsO6,3.239
Ca2CoTeO6,1.986
Ca2CoWO6,1.999
Ca2CrSbO6,2.393
Ca2FeMoO6,1.098
Ca2FeOsO6,0
Ca2FeReO6,0
Ca2FeSbO6,2.155
Ca2FeWO6,2.507
Ca2MgWO6,3.732
Ca2MnSbO6,1.473
Ca2MnWO6,2.339
Ca2NbCrO6,2.702
Ca2NbFeO6,2.62
Ca2NbInO6,3.261
Ca2NiOsO6,0
Ca2NiWO6,3.3
Ca2PdWO6,0
Ca2ScNbO6,3.143
Ca2ScOsO6,0
Ca2ScTaO6,3.733
Ca2TaCrO6,3.201
Ca2TaInO6,3.849
Ca2TaMnO6,0.415
Ca2TiMnO6,1.545
Ca2TiSiO6,2.362
Ca2TmRuO6,0
Ca2VBiO6,3.055
Ca2YbRuO6,0
Cd2BiAsO6,2.053
Cu2BiAsO6,0
Cu2BiPO6,0
Dy2CoPtO6,0.906
Dy2MgTiO6,3.241
Dy2MnNiO6,0.66
Dy2NiRuO6,0
Er2MgTiO6,3.23
Er2NiRuO6,0
Eu2CoPtO6,0
Eu2CoRuO6,0
Eu2DyTaO6,0
Eu2ErTaO6,0.532
Eu2GdTaO6,0.57
Eu2HoTaO6,0.516
